,Index,imdbId,Uri,Title,IMDB_rating,Genre,Poster,Path,n_faces,dominant_color,median_lightness
126,26564,57227,http://www.imdb.com/title/tt57227,Kissin' Cousins (1964),5.2,Comedy|Musical|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDljYTc5YzItOThjMS00MGUxLWExZDUtNzJkY2RkYWNiODU3L2ltYWdlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg",57227.jpg,1,silver,218.0
127,27776,214965,http://www.imdb.com/title/tt214965,Motforestilling (1972),6.9,Crime|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDMxOGQyZjQtNzhhMy00NTNkLTk5MGItMjI3ZjgzYWZjNTUwXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY268_CR21,0,182,268_AL_.jpg",214965.jpg,1,black,55.0
128,8935,91642,http://www.imdb.com/title/tt91642,Nobody's Fool (1986),5.6,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNDI4MTA0NF5BMl5BanBnXkFtZTcwMDY5NjcyMQ@@._V1_UY268_CR7,0,182,268_AL_.jpg",91642.jpg,1,white,248.0
129,37013,21197,http://www.imdb.com/title/tt21197,The Office Wife (1930),6.3,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzczMDgzZDItOGJiMS00ODM1LThiM2YtNzg4YTZhMjUwYTNjXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY268_CR80,0,182,268_AL_.jpg",21197.jpg,0,silver,165.0
130,5820,83542,http://www.imdb.com/title/tt83542,Alone in the Dark (1982),6.2,Horror|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDEyMTkyODctOWRiYy00NzkxLWEzMTAtMWZiMjRjMWRmZjE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",83542.jpg,0,black,14.0
131,4963,74626,http://www.imdb.com/title/tt74626,Heart of Glass (1976),7.2,Comedy|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMTE1MDEwN15BMl5BanBnXkFtZTcwMTEzOTkyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",74626.jpg,0,gray,145.0
132,39537,46497,http://www.imdb.com/title/tt46497,The Veils of Bagdad (1953),6.0,Action|Adventure|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BODdhYzI2NGQtNWJhZS00ZTNjLWJkNDMtODVlZDU5NjJjNTMwXkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_UX182_CR0,0,182,268_AL_.jpg",46497.jpg,3,olive,205.0
133,16641,343992,http://www.imdb.com/title/tt343992,The Long and Short of It (2003),6.8,Short|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjBkZGM4ZWQtZmRmMi00ZjAwLWIyZGYtMDk3YmI4ZjhiYzhiXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",343992.jpg,0,black,0.0
134,33890,71617,http://www.imdb.com/title/tt71617,Homebodies (1974),6.8,Comedy|Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc0ZjFjNWItNmI3MC00NTlmLWI0M2QtODZjNzg1ODc1NThmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",71617.jpg,0,silver,210.0
135,7393,73636,http://www.imdb.com/title/tt73636,Rooster Cogburn (1975),6.9,Adventure|Drama|Western,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTIyY2ZkNmYtYzM2MC00NjhkLWIwZDAtMmE3NTI4MGVjZjRlXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",73636.jpg,1,silver,238.0
136,27198,62456,http://www.imdb.com/title/tt62456,Voyna i mir IV: Pierre Bezukhov (1967),8.4,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjBkODg4OTEtYjMxMS00YzVkLTkzNTItZGI5OGI2N2QwZGUzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_UX182_CR0,0,182,268_AL_.jpg",62456.jpg,1,black,62.0
